ID;Name;URL;Img;Strength;Served;Difficulty;Bourbon / American Whiskey;Tequila;Gin;Liqueurs;Rye Whiskey;Vodka;Brandy / Cognac;Cachaça;Mezcal;Scotch;Rum;Irish Whiskey;Vermouth / Aperitif Wine;Canadian Whisky;Absinthe;Beer;Whiskey;Non-alcoholic;Pisco;Japanese Whisky;Salty/Savory;Sweet;Creamy;Spicy;Sour;Fruity/Citrus-forward;Spirit-forward;Bitter;Bubbly;Modern Classics;Classics;Martinis;Margaritas;Hot;Tiki / Tropical;Punches;Frozen / Blended;Shots;Non-Alcoholic;Stirred;Shaken;Blended;Cooked/Heated;
10;Blackberry Mint Julep Margarita;http://liquor.com/recipes/blackberry-mint-julep-margarita/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/blackberry-mint-julep-margarita.jpg;0.5;0.33;0.5;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;
11;Girls Next Door;http://liquor.com/recipes/girls-next-door/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/recipe-girls-next-door.jpg;0.5;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;
12;Green & Amber;http://liquor.com/recipes/green-amber/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/recipe-green-and-amber-lifestyle.jpg;0.5;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.07;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.0;
13;The Ascot;http://liquor.com/recipes/the-ascot/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/recipe-ascot-lifestyle.jpg;1.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.0;
14;White Dragon;http://liquor.com/recipes/white-dragon/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/recipe-white-dragon.jpg;0.5;0.5;0.5;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.07;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;
15;Cacao Old Fashioned;http://liquor.com/recipes/cacao-old-fashioned/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/recipe-cacao-old-fashioned.jpg;0.5;0.33;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.0;
16;Cafe Panama;http://liquor.com/recipes/cafe-panama/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/recipe-cafe-panama.jpg;0.5;0.665;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.07;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.0;
17;Singapore Sling;http://liquor.com/recipes/singapore-sling/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/singapore-sling-tanq.jpg;0.5;0.33;0.5;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.07;0.0;0.0;0.0;0.07;0.0;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;
18;Improved Bronx;http://liquor.com/recipes/improved-bronx/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/improved-bronx-tanq.jpg;0.25;0.5;0.5;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;
19;Ten Aviation;http://liquor.com/recipes/ten-aviation/;http://liquor.s3.amazonaws.com/wp-content/uploads/2014/04/aviation-tanq.jpg;0.5;0.5;0.5;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.07;0.07;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;
