ID;Name;URL;Strength;Served;Difficulty;Bourbon / American Whiskey;Tequila;Gin;Liqueurs;Rye Whiskey;Vodka;Brandy / Cognac;Cachaça;Mezcal;Scotch;Rum;Irish Whiskey;Vermouth / Aperitif Wine;Canadian Whisky;Absinthe;Beer;Whiskey;Non-alcoholic;Pisco;Japanese Whisky;Salty/Savory;Sweet;Creamy;Spicy;Sour;Fruity/Citrus-forward;Spirit-forward;Bitter;Bubbly;Modern Classics;Classics;Martinis;Margaritas;Hot;Tiki / Tropical;Punches;Frozen / Blended;Shots;Non-Alcoholic;Stirred;Shaken;Blended;Cooked/Heated
20;Ten French 75;http://liquor.com/recipes/ten-french-75/;0.5;0.5;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0.07;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0
21;Ten Negroni;http://liquor.com/recipes/ten-negroni/;0.5;0.33;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0.04;0;0;0
22;Head of Steam;http://liquor.com/recipes/head-of-steam/;1;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
23;50/50 Martini;http://liquor.com/recipes/5050-martini/;0.5;0.5;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0.04;0;0;0
24;Perfect Ten Martini;http://liquor.com/recipes/perfect-ten-martini/;0.5;0.5;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0.04;0;0;0
25;Ten Rickey;http://liquor.com/recipes/ten-rickey/;0.5;0.33;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0.07;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0
26;Bramble #10;http://liquor.com/recipes/bramble-10/;0.25;0.33;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0.07;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0
27;No. 3 Gin Martini;http://liquor.com/recipes/no-3-gin-martini/;1;0.5;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0.04;0;0;0
28;Black Widow;http://liquor.com/recipes/black-widow/;0.5;0.33;1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0.07;0;0;0;0.1;0;0;0.1;0;0;0;0;0;0;0;0.04;0;0
29;Café Corrección Ponche;http://liquor.com/recipes/cafe-correccion-ponche/;0.5;0.33;0.5;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0.07;0;0;0;0;0;0;0;0.1;0;0;0;0.04;0;0;0
